City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
199,Longyearbyen,78.2186,15.6401,35.44,80,75,2.3,SJ,2021-06-07 04:08:22
200,Tura,25.5198,90.2201,84.15,71,35,6.55,IN,2021-06-07 04:04:00
201,Tutoia,-2.7619,-42.2744,78.37,83,20,3.91,BR,2021-06-07 04:08:22
202,Kavaratti,10.5669,72.642,82.62,76,100,12.62,IN,2021-06-07 04:08:23
203,College,64.8569,-147.8028,70.12,44,40,8.05,US,2021-06-07 04:08:23
204,Cerknica,45.7931,14.3625,60.69,93,100,10.0,SI,2021-06-07 04:08:23
205,Fez,34.0372,-4.9998,70.05,49,0,4.83,MA,2021-06-07 04:08:24
206,Oranjemund,-28.55,16.4333,65.21,35,23,22.39,NA,2021-06-07 04:08:24
207,Paka,4.6374,103.4368,88.56,57,100,5.23,MY,2021-06-07 04:08:24
208,Storm Lake,42.6411,-95.2097,75.15,68,1,16.11,US,2021-06-07 04:08:25
209,Sembakung,3.8167,117.25,84.13,87,100,1.3,ID,2021-06-07 04:08:25
210,Ridgecrest,35.6225,-117.6709,72.3,20,1,12.15,US,2021-06-07 04:03:46
211,Ipora,-16.4419,-51.1178,66.56,59,92,2.98,BR,2021-06-07 04:08:26
212,Chibuto,-24.6867,33.5306,59.47,86,29,3.09,MZ,2021-06-07 04:08:26
213,Verkhniy Landekh,56.8389,42.5994,64.42,74,25,3.44,RU,2021-06-07 04:08:27
214,Acarau,-2.8856,-40.12,76.44,86,9,7.7,BR,2021-06-07 04:08:27
215,Quelimane,-17.8786,36.8883,61.02,91,49,4.36,MZ,2021-06-07 04:08:27
216,Kasangulu,-4.5911,15.1708,69.21,83,4,1.77,CD,2021-06-07 04:07:08
217,Pemangkat,1.1667,108.9667,86.2,66,31,6.67,ID,2021-06-07 04:08:28
218,Kununurra,-15.7667,128.7333,87.78,20,10,4.61,AU,2021-06-07 04:08:28
219,Kavieng,-2.5744,150.7967,83.32,71,14,5.32,PG,2021-06-07 04:08:28
220,Los Llanos De Aridane,28.6585,-17.9182,64.15,83,90,12.1,ES,2021-06-07 04:08:29
221,Carnot,4.9409,15.8665,67.01,97,71,0.87,CF,2021-06-07 04:08:29
222,La Ronge,55.1001,-105.2842,52.25,84,71,5.14,CA,2021-06-07 04:08:29
223,Ban Nahin,18.2418,104.2122,82.27,82,100,2.35,LA,2021-06-07 04:08:30
224,Medvedka,61.1629,46.387,58.06,50,44,10.83,RU,2021-06-07 04:08:30
225,Camana,-16.6228,-72.7111,62.98,85,51,5.99,PE,2021-06-07 04:08:30
226,Harwich,51.9419,1.2844,59.22,85,10,1.99,GB,2021-06-07 04:08:31
227,Geraldton,-28.7667,114.6,66.61,55,100,17.65,AU,2021-06-07 04:08:31
228,Iquique,-20.2208,-70.1431,60.84,78,98,1.48,CL,2021-06-07 04:08:31
229,Flin Flon,54.7682,-101.865,51.96,66,100,6.42,CA,2021-06-07 04:08:32
230,Dhupgari,26.5858,89.0145,84.69,74,45,8.88,IN,2021-06-07 04:08:32
231,Tiznit,29.5833,-9.5,68.5,61,90,1.48,MA,2021-06-07 04:08:32
232,Lorengau,-2.0226,147.2712,83.5,70,46,1.54,PG,2021-06-07 04:08:33
233,Hay River,60.8156,-115.7999,42.66,64,86,6.31,CA,2021-06-07 04:08:33
234,Puerto Escondido,15.85,-97.0667,83.32,81,100,5.35,MX,2021-06-07 04:08:33
235,Palkan,6.2964,125.0317,82.62,63,57,2.46,PH,2021-06-07 04:08:34
236,Kupang,-10.1667,123.5833,86.58,58,20,14.97,ID,2021-06-07 04:08:34
237,Chardara,41.2547,67.9692,90.5,25,20,9.15,KZ,2021-06-07 04:08:35
238,High Level,58.5169,-117.136,55.98,38,99,9.4,CA,2021-06-07 04:08:35
239,Vanimo,-2.6741,141.3028,82.18,83,85,6.69,PG,2021-06-07 04:08:36
240,Morros,-9.4467,-46.3003,69.22,50,93,3.47,BR,2021-06-07 04:08:36
