City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
176,Caohe,CN,30.2297,115.4335,89.65,47,99,8.08,overcast clouds
177,San Patricio,US,28.017,-97.5169,82.89,90,4,15.05,clear sky
178,Danilov,RU,58.1908,40.1717,63.84,66,75,2.82,broken clouds
179,Thompson,CA,55.7435,-97.8558,53.76,87,90,10.36,overcast clouds
180,Saint-Denis,FR,48.9167,2.3333,56.21,92,100,2.3,overcast clouds
181,Guerrero Negro,MX,27.9769,-114.0611,62.69,78,92,14.99,overcast clouds
182,Kavieng,PG,-2.5744,150.7967,83.32,71,14,5.32,light rain
183,Bandarbeyla,SO,9.4942,50.8122,81.39,72,2,25.97,clear sky
184,Vanimo,PG,-2.6741,141.3028,82.18,83,85,6.69,overcast clouds
185,Berdsk,RU,54.7551,83.0967,73.0,73,6,8.46,clear sky
186,Tura,IN,25.5198,90.2201,84.15,71,35,6.55,scattered clouds
187,Ahipara,NZ,-35.1667,173.1667,61.74,88,98,10.96,overcast clouds
188,Vardo,NO,70.3705,31.1107,43.0,72,7,7.02,clear sky
189,Dingle,PH,10.9995,122.6711,87.33,62,100,5.32,overcast clouds
190,Pilar,BR,-9.5972,-35.9567,71.53,94,35,1.95,scattered clouds
191,Isangel,VU,-19.55,169.2667,75.31,69,75,11.5,broken clouds
192,Pevek,RU,69.7008,170.3133,50.94,59,4,15.23,clear sky
193,Vestmannaeyjar,IS,63.4427,-20.2734,47.48,92,100,19.24,overcast clouds
194,Samarai,PG,-10.6167,150.6667,77.02,92,100,13.78,overcast clouds
195,Shelburne,CA,44.0787,-80.2041,71.49,48,20,10.0,few clouds
196,Aklavik,CA,68.2191,-135.0107,45.32,41,11,9.1,few clouds
197,Varkaus,FI,62.3153,27.873,57.31,82,63,6.76,broken clouds
198,Evensk,RU,61.95,159.2333,50.0,72,59,8.12,broken clouds
199,Yumen,CN,40.2833,97.2,70.27,13,79,14.07,broken clouds
200,Souillac,MU,-20.5167,57.5167,76.35,78,75,18.34,light rain
201,Marsa Matruh,EG,31.3525,27.2453,69.4,71,0,10.29,clear sky
202,Valdivia,CL,-39.8142,-73.2459,37.49,97,93,2.06,overcast clouds
203,Saldanha,ZA,-33.0117,17.9442,68.05,38,2,27.07,clear sky
